Year,Month,Date,nGroups,PopulationSize,MeanGroupSize,l95GroupSize,u95GroupSize,IndDensity_KDE,l95IndDensity_KDE,u95IndDensity_KDE,GroupDensity_KDE,l95GroupDensity_KDE,u95GroupDensity_KDE
1998,4,01/04/1998,7,82.53900742,11.79128677,7.978532777,15.98841108,NA,NA,NA,NA,NA,NA
1998,5,01/05/1998,7,89.22154893,12.74593556,8.011863312,17.39443436,NA,NA,NA,NA,NA,NA
1998,6,01/06/1998,7,90.7292206,12.96131723,8.517974695,17.20681991,NA,NA,NA,NA,NA,NA
1998,7,01/07/1998,7,90.57036768,12.93862395,9.307182796,16.31915702,NA,NA,NA,NA,NA,NA
1998,8,01/08/1998,8,98.28799139,12.28599892,8.56643768,15.87529692,NA,NA,NA,NA,NA,NA
1998,9,01/09/1998,8,98.86783908,12.35847989,9.070690974,15.71470236,NA,NA,NA,NA,NA,NA
1998,10,01/10/1998,8,92.36229955,11.54528744,8.074967162,15.06344405,NA,NA,NA,NA,NA,NA
1998,11,01/11/1998,8,74.66231904,9.33278988,6.500242718,12.21039604,NA,NA,NA,NA,NA,NA
1998,12,01/12/1998,8,72.91616357,9.114520446,6.429079249,11.80362575,NA,NA,NA,NA,NA,NA
1999,1,01/01/1999,8,77.96376814,9.745471017,7.772778056,12.24457101,NA,NA,NA,NA,NA,NA
1999,2,01/02/1999,9,99.27319147,11.03035461,8.252950823,14.38501457,NA,NA,NA,NA,NA,NA
1999,3,01/03/1999,9,101.0065901,11.22295445,8.4773089,14.33142368,NA,NA,NA,NA,NA,NA
1999,4,01/04/1999,9,104.4185024,11.60205582,9.321499101,14.21998344,NA,NA,NA,NA,NA,NA
1999,5,01/05/1999,9,130.2605517,14.47339463,11.54985252,17.81721622,NA,NA,NA,NA,NA,NA
1999,6,01/06/1999,10,140.8239775,14.08239775,11.0988175,17.13117525,NA,NA,NA,NA,NA,NA
1999,7,01/07/1999,10,138.4809373,13.84809373,11.07166316,16.72850457,NA,NA,NA,NA,NA,NA
1999,8,01/08/1999,10,132.0979015,13.20979015,10.10247325,16.50847005,NA,NA,NA,NA,NA,NA
1999,9,01/09/1999,10,122.348906,12.2348906,9.47660008,15.27545485,NA,NA,NA,NA,NA,NA
1999,10,01/10/1999,10,117.2779982,11.72779982,9.225603317,14.3319527,NA,NA,NA,NA,NA,NA
1999,11,01/11/1999,10,105.0128158,10.50128158,8.273717505,12.9968946,NA,NA,NA,NA,NA,NA
1999,12,01/12/1999,8,96.49093677,12.0613671,10.0461541,14.63509614,NA,NA,NA,NA,NA,NA
2000,1,01/01/2000,8,95.14107796,11.89263475,9.849078745,14.2762667,NA,NA,NA,NA,NA,NA
2000,2,01/02/2000,9,115.2458657,12.80509618,10.13611519,15.26789594,NA,NA,NA,NA,NA,NA
2000,3,01/03/2000,9,128.7584083,14.30648981,11.37227425,17.7457655,NA,NA,NA,NA,NA,NA
2000,4,01/04/2000,9,134.3534538,14.92816153,11.85132528,18.00999716,NA,NA,NA,NA,NA,NA
2000,5,01/05/2000,9,158.6944339,17.63271488,15.15784235,19.97220015,NA,NA,NA,NA,NA,NA
2000,6,01/06/2000,9,162.0030216,18.00033573,15.19675335,20.67739957,NA,NA,NA,NA,NA,NA
2000,7,01/07/2000,9,172.0584679,19.11760754,16.10105902,21.89495893,NA,NA,NA,NA,NA,NA
2000,8,01/08/2000,9,172.7695116,19.1966124,16.29014815,21.84942655,NA,NA,NA,NA,NA,NA
2000,9,01/09/2000,9,168.223505,18.69150055,15.59434703,21.39489416,NA,NA,NA,NA,NA,NA
2000,10,01/10/2000,9,161.7590779,17.97323088,15.02668817,20.57456912,NA,NA,NA,NA,NA,NA
2000,11,01/11/2000,9,156.7390409,17.41544899,15.05189597,19.82167479,NA,NA,NA,NA,NA,NA
2000,12,01/12/2000,9,166.9489947,18.5498883,15.77318281,21.27666278,NA,NA,NA,NA,NA,NA
2001,1,01/01/2001,9,187.8146658,20.86829621,18.60454114,23.05196901,NA,NA,NA,NA,NA,NA
2001,2,01/02/2001,9,193.7677702,21.52975225,19.14486733,23.70393972,NA,NA,NA,NA,NA,NA
2001,3,01/03/2001,9,210.2298219,23.3588691,20.65894819,26.4519595,NA,NA,NA,NA,NA,NA
2001,4,01/04/2001,9,212.9351555,23.65946172,20.8455342,26.75525115,NA,NA,NA,NA,NA,NA
2001,5,01/05/2001,9,220.7886965,24.53207739,21.95300666,27.30526459,NA,NA,NA,NA,NA,NA
2001,6,01/06/2001,9,228.4102839,25.37892043,21.59245974,28.74164045,NA,NA,NA,NA,NA,NA
2001,7,01/07/2001,9,224.1645145,24.90716828,20.68580743,29.17642683,NA,NA,NA,NA,NA,NA
2001,8,01/08/2001,9,195.5897606,21.73219562,16.8959214,26.48286404,NA,NA,NA,NA,NA,NA
2001,9,01/09/2001,10,211.4919305,21.14919305,17.53916393,24.96604751,NA,NA,NA,NA,NA,NA
2001,10,01/10/2001,10,201.9132323,20.19132323,16.82752019,24.21882916,NA,NA,NA,NA,NA,NA
2001,11,01/11/2001,10,164.0986981,16.40986981,13.60843267,20.38872396,NA,NA,NA,NA,NA,NA
2001,12,01/12/2001,10,137.9545274,13.79545274,11.0347786,17.11191446,NA,NA,NA,NA,NA,NA
2002,1,01/01/2002,10,159.5996195,15.95996195,12.52604139,20.1357426,NA,NA,NA,NA,NA,NA
2002,2,01/02/2002,10,179.5437224,17.95437224,13.32913479,22.87127552,NA,NA,NA,NA,NA,NA
2002,3,01/03/2002,12,219.6597403,18.30497836,13.96583448,23.21945769,NA,NA,NA,NA,NA,NA
2002,4,01/04/2002,12,228.0094774,19.00078978,14.41783812,23.56166606,NA,NA,NA,NA,NA,NA
2002,5,01/05/2002,12,231.0002838,19.25002365,14.48894589,23.69656651,NA,NA,NA,NA,NA,NA
2002,6,01/06/2002,11,229.3361115,20.84873741,15.66745086,26.25787906,NA,NA,NA,NA,NA,NA
2002,7,01/07/2002,11,241.8588557,21.9871687,16.84564282,27.74164089,NA,NA,NA,NA,NA,NA
2002,8,01/08/2002,7,145.8321413,20.83316304,13.13623715,30.56867263,9.600155504,7.773621588,9.4585715,0.460811231,0.410305802,0.447504077
2002,9,01/09/2002,8,169.9583721,21.24479651,14.10639881,29.4057403,13.1012151,11.82138027,13.46893587,0.616678776,0.566514753,0.64935608
2002,10,01/10/2002,9,176.1132684,19.56814094,13.92134185,25.49363054,13.13615588,12.1526723,13.70327776,0.671303213,0.628933563,0.699677798
2002,11,01/11/2002,9,168.0242319,18.6693591,13.56791785,23.95741935,10.04956128,8.909085431,10.348804,0.538291712,0.501575829,0.542246539
2002,12,01/12/2002,10,163.3556691,16.33556691,12.3716522,20.56789093,9.799675777,8.775892587,10.27022339,0.599898114,0.566992686,0.617608245
2003,1,01/01/2003,10,174.7153351,17.47153351,13.47458021,21.49752156,9.982135109,9.023363765,10.52040195,0.57133709,0.542801613,0.580837378
2003,2,01/02/2003,10,174.949019,17.4949019,12.33796068,22.72979785,9.747176183,8.831861456,10.30122986,0.557143803,0.525158844,0.562664956
2003,3,01/03/2003,11,210.0764665,19.09786059,14.34094784,24.01943841,10.50632549,9.739215819,11.10158708,0.550131018,0.511772835,0.55436075
2003,4,01/04/2003,12,231.5917279,19.29931066,14.66026133,24.23234478,11.08929827,10.38959108,11.60873366,0.574595563,0.538337298,0.587264036
2003,5,01/05/2003,12,230.1322128,19.1776844,14.25948594,24.87460539,9.193289966,8.490868217,9.673547593,0.479374349,0.45033987,0.492793953
2003,6,01/06/2003,12,247.4045547,20.61704622,15.55544871,25.9410308,9.77249087,9.085155574,10.13971897,0.474000532,0.445664626,0.483818816
2003,7,01/07/2003,13,271.3740761,20.87492893,15.7554404,26.38323502,11.51939044,10.75734962,12.05696638,0.551828966,0.525329684,0.577500833
2003,8,01/08/2003,13,262.1826934,20.16789949,15.42689846,25.01706136,10.91026825,10.05568041,11.90686876,0.540971967,0.514060398,0.587540907
2003,9,01/09/2003,13,252.8700618,19.45154322,14.63158255,24.39052548,9.9725149,9.386254759,10.58797184,0.512685024,0.484809414,0.543672261
2003,10,01/10/2003,13,245.3048149,18.86960114,14.54052381,22.96611374,8.805871252,8.185190224,9.300580184,0.466669708,0.442144806,0.488878719
2003,11,01/11/2003,12,201.9436719,16.82863932,12.65845166,20.66314443,7.890328372,7.273597924,8.214462093,0.468863122,0.44588864,0.476054679
2003,12,01/12/2003,12,147.6755764,12.30629804,9.81549112,14.86427024,6.423641217,5.938171814,6.716770295,0.521979981,0.500163063,0.541400194
2004,1,01/01/2004,11,106.0023048,9.636573165,7.540426212,12.06380337,4.831831282,4.279085878,5.132394189,0.501405551,0.478755936,0.526943838
2004,2,01/02/2004,11,106.3820195,9.671092681,7.51676728,12.38829219,5.522482242,5.003103391,5.920471994,0.571029813,0.551978698,0.618930627
2004,3,01/03/2004,11,104.7660663,9.524187846,7.802633959,11.1433886,5.446472474,5.069815137,5.907339801,0.571856893,0.552639469,0.624206782
2004,4,01/04/2004,11,119.03105,10.82100455,8.269833788,13.41947108,6.592013786,6.093109175,6.995171474,0.60918686,0.588656128,0.638854755
2004,5,01/05/2004,11,128.8805319,11.71641199,9.722691609,13.9039855,6.396041477,6.105666759,6.707939621,0.545904453,0.525352125,0.57735767
2004,6,01/06/2004,11,151.6078678,13.78253343,11.54876242,16.01688739,7.426802935,7.105693165,7.696752136,0.538856152,0.515206099,0.566528316
2004,7,01/07/2004,11,166.3865177,15.12604706,12.04335177,18.11382285,7.432969635,6.973026991,7.597007481,0.49140199,0.467055722,0.512350122
2004,8,01/08/2004,11,170.1985057,15.47259143,12.96457087,18.13401656,7.120148407,6.628954936,7.385041975,0.460178144,0.438769458,0.485243249
2004,9,01/09/2004,11,170.0994635,15.46358759,12.89425402,18.55418448,7.10190868,6.612027852,7.366887692,0.45926656,0.441385428,0.476612332
2004,10,01/10/2004,11,160.9836462,14.63487693,12.05440066,17.70980829,6.922220735,6.423128574,7.21004192,0.472994803,0.439480192,0.487138367
2004,11,01/11/2004,11,157.120699,14.28369991,11.70243133,17.23626341,7.429738229,6.699249286,7.710620434,0.520155021,0.479310078,0.527468861
2004,12,01/12/2004,11,120.1221914,10.92019922,8.777509562,13.48328887,5.838725892,5.238037688,5.948725653,0.534672104,0.493525192,0.534838457
2005,1,01/01/2005,11,129.2919394,11.75381267,9.243801625,14.95699941,6.084251551,5.404979386,6.461398294,0.517640677,0.478080512,0.522861503
2005,2,01/02/2005,11,128.8855812,11.71687102,9.166505104,14.76687606,5.389873363,4.852924948,5.76179841,0.460009618,0.42150935,0.470516709
2005,3,01/03/2005,13,168.2855471,12.94504208,10.76238286,15.38595531,7.1197178,6.691445632,7.55302275,0.549995725,0.517432228,0.572073904
2005,4,01/04/2005,13,180.8195935,13.9091995,11.35325756,16.85198861,7.67624353,7.145709074,7.933522309,0.551882481,0.527207734,0.558233531
2005,5,01/05/2005,14,188.2894815,13.44924868,10.61495889,16.89900701,8.403480535,7.71516851,8.747623743,0.624828995,0.592629763,0.631139664
2005,6,01/06/2005,14,205.1083708,14.65059792,11.53891218,18.11492095,9.225424054,8.506211124,9.569278696,0.629696078,0.595076009,0.64566846
2005,7,01/07/2005,13,217.0798279,16.6984483,13.61316642,20.18351367,9.384083503,8.858250654,9.679065186,0.561973384,0.525811655,0.581142086
2005,8,01/08/2005,11,193.5995758,17.59996143,13.86708627,21.52044866,8.042512669,7.476333809,8.208549777,0.456961948,0.420752917,0.474148768
2005,9,01/09/2005,12,195.8445703,16.32038086,12.76786538,19.99816801,8.354440178,7.769846892,8.741995292,0.51190228,0.475800027,0.54205512
2005,10,01/10/2005,12,190.1059279,15.84216066,12.78515495,19.32729467,8.934581003,8.269781513,9.477141232,0.563974902,0.528460035,0.599564877
2005,11,01/11/2005,12,193.0348231,16.08623525,12.90865778,19.66186215,8.643549857,8.050161008,9.171382843,0.537325839,0.510610096,0.569644473
2005,12,01/12/2005,12,182.692576,15.22438133,12.36070975,18.64042201,7.783378426,7.09912354,8.06797113,0.511244316,0.489216552,0.527454445
2006,1,01/01/2006,12,193.5886727,16.13238939,12.71186414,20.19889325,8.690776358,7.850123594,8.915145118,0.538716005,0.513176675,0.557251702
2006,2,01/02/2006,14,212.6987416,15.19276725,12.43317436,18.26021613,9.42193006,8.713147894,9.730182251,0.620158915,0.59707222,0.636359296
2006,3,01/03/2006,14,205.2157486,14.65826775,11.54801515,18.31361558,9.291582707,8.64083022,9.79607091,0.633879996,0.604232596,0.656795799
2006,4,01/04/2006,13,176.788723,13.59913254,10.48398214,16.47486834,9.570190636,9.004432421,10.03081455,0.703735375,0.654471527,0.750197486
2006,5,01/05/2006,13,173.7029172,13.36176286,10.38738341,16.1237459,8.953952354,8.404717438,9.183324961,0.670117592,0.623788174,0.706856726
2006,6,01/06/2006,13,187.0137863,14.38567587,11.14425354,17.91361996,9.883782223,9.379700797,10.16829829,0.687057203,0.639041242,0.733303616
2006,7,01/07/2006,14,240.0427878,17.14591341,12.91116702,22.30101567,12.92002529,12.33755711,13.82212814,0.7535338,0.703757433,0.832089252
2006,8,01/08/2006,14,238.210683,17.01504878,13.40530753,22.06083151,13.40479046,12.29545379,15.04007671,0.78781969,0.742438074,0.904789432
2006,9,01/09/2006,13,219.9669564,16.9205351,12.70123133,21.72139913,12.00939512,10.80581168,13.49606449,0.709752679,0.661674867,0.826828793
2006,10,01/10/2006,13,214.4943671,16.4995667,12.25371214,21.04312623,11.70592741,10.36877674,13.28780323,0.709468777,0.65930896,0.83412814
2006,11,01/11/2006,13,209.4286365,16.10989512,12.15487678,20.75749651,10.57681712,9.63618033,11.29544456,0.65654165,0.611648168,0.728466135
2006,12,01/12/2006,14,226.5379094,16.18127924,12.11095053,20.13160856,10.17972946,9.705997111,10.57263704,0.629105357,0.590228362,0.676295802
2007,1,01/01/2007,14,240.0410884,17.14579203,13.46751644,21.14104759,9.944531297,9.619088454,10.38370011,0.579998362,0.545895348,0.626727033
2007,2,01/02/2007,14,233.3004575,16.66431839,12.96035726,20.64023482,9.22186679,8.840809318,9.59997265,0.553389978,0.51755494,0.599089803
2007,3,01/03/2007,14,225.9274062,16.13767187,12.45867783,20.40513551,9.740456859,8.930603086,10.40194754,0.603585011,0.566051696,0.667112147
2007,4,01/04/2007,14,219.064964,15.64749743,11.58631607,20.09583636,9.622487843,8.549969271,10.13308886,0.61495379,0.576191906,0.668191616
2007,5,01/05/2007,12,205.4132233,17.11776861,13.40824551,20.61390691,9.497119155,8.525963648,9.920760909,0.554810582,0.520852593,0.592564299
2007,6,01/06/2007,11,184.9844604,16.81676913,12.039196,21.41092882,9.551518903,8.559726586,10.13351887,0.56797586,0.531667009,0.617855274
2007,7,01/07/2007,12,191.0885388,15.9240449,11.53694466,20.97527572,11.48545344,10.35085411,11.98711133,0.721264824,0.670261276,0.768319097
2007,8,01/08/2007,11,178.0966722,16.19060656,11.77113886,21.09656559,10.47074126,9.338753272,11.23372345,0.646717046,0.598516129,0.702227693
2007,9,01/09/2007,12,181.8263865,15.15219887,11.23924091,19.46729742,9.029089902,7.941326348,9.945782763,0.595893044,0.554547061,0.671365697
2007,10,01/10/2007,12,176.7471466,14.72892888,11.26659496,18.94459415,7.0147189,6.13445801,7.561780048,0.476254516,0.440588871,0.524131527
2007,11,01/11/2007,9,121.419758,13.49108422,10.39101235,16.87409372,4.40217839,3.776874785,4.556649378,0.326302788,0.291788419,0.346913281
2007,12,01/12/2007,8,77.11088326,9.638860408,8.107006369,11.12334346,3.206876459,2.797436545,3.254685318,0.332702864,0.292734326,0.337170514
2008,1,01/01/2008,8,69.70448722,8.713060903,6.946061006,10.30854262,4.746474132,4.155835936,5.467720302,0.544753926,0.489583563,0.639142263
2008,2,01/02/2008,8,61.24952064,7.65619008,6.29593312,9.127379451,5.703226583,5.158176913,6.82591022,0.744917057,0.668904607,0.931085068
2008,3,01/03/2008,8,64.88978567,8.111223208,6.334321163,10.01240371,7.115764351,6.383803262,8.053698603,0.877273892,0.795591519,1.060876039
2008,4,01/04/2008,8,78.16992682,9.771240852,8.699324443,10.69200827,5.883010714,5.312553528,6.389231203,0.602074066,0.54273114,0.658433278
2008,5,01/05/2008,10,103.8202494,10.38202494,8.784247156,11.78268822,7.272283928,6.729530809,8.062476067,0.70046874,0.649240589,0.77965177
2008,6,01/06/2008,10,109.5854941,10.95854941,9.330730928,12.38876515,8.748196506,8.079135056,10.1735724,0.798298769,0.739395563,0.929346417
2008,7,01/07/2008,10,110.6802256,11.06802256,9.988624745,12.09430484,9.364254286,8.532139203,11.43483462,0.846063896,0.778655214,1.03058948
2008,8,01/08/2008,12,114.169235,9.514102919,8.037425096,11.22978245,9.420529778,8.709109937,11.2495864,0.990164796,0.934669403,1.188606135
2008,9,01/09/2008,11,103.3120058,9.392000527,7.914680985,10.97281901,8.63421715,7.961304417,9.740882941,0.919316085,0.867553703,1.046049065
2008,10,01/10/2008,11,106.0760989,9.643281721,8.358289787,11.20965551,7.872320285,7.302368692,8.64535116,0.816352826,0.772956146,0.904382912
2008,11,01/11/2008,11,105.8365425,9.621503867,8.45963267,10.99270615,7.203612099,6.613783802,7.580313346,0.748699184,0.705642252,0.792058428
2008,12,01/12/2008,12,129.7131405,10.80942837,8.991792549,12.50852032,7.394093951,6.987537884,7.829024993,0.684041163,0.649626688,0.724797409
2009,1,01/01/2009,13,153.4194037,11.80149259,10.02382831,13.7762697,9.334456377,8.951435194,9.917052829,0.790955576,0.756348519,0.836548854
2009,2,01/02/2009,13,164.8967128,12.68436252,11.09805121,14.58585711,9.243885827,8.789884901,9.875117322,0.728762349,0.699745849,0.768298993
2009,3,01/03/2009,14,192.8435421,13.77453872,11.5913983,15.9572988,10.02763742,9.626803003,10.60202865,0.727983537,0.701017792,0.761511015
2009,4,01/04/2009,14,195.7965883,13.98547059,12.0493253,15.76744888,10.12959009,9.765967889,10.56228812,0.724293832,0.699512805,0.752634923
2009,5,01/05/2009,13,195.7136933,15.05489948,12.77256593,17.17227729,10.37265158,9.916476264,10.77120757,0.688988431,0.662112796,0.709271398
2009,6,01/06/2009,13,206.2847707,15.86805929,13.41774313,18.36912509,12.01135913,11.51076161,12.70502912,0.756951994,0.728768984,0.787981305
2009,7,01/07/2009,13,212.0986151,16.31527809,13.80813068,18.82948832,12.34938789,11.57754742,12.99638969,0.756921692,0.725264973,0.7937296
2009,8,01/08/2009,12,199.4564457,16.62137048,13.80963082,19.49809562,10.86253866,10.12799907,11.7697494,0.653528461,0.619485817,0.709310544
2009,9,01/09/2009,12,189.2488181,15.77073484,13.0056104,18.8273165,9.904104861,9.164929263,10.78876675,0.628005287,0.595973579,0.687731372
2009,10,01/10/2009,12,179.8458349,14.98715291,12.16830782,18.10163438,9.442125876,8.873936565,10.45777534,0.630014649,0.595089387,0.704409042
2009,11,01/11/2009,12,171.2553176,14.27127646,11.45785553,17.12042919,9.140507986,8.611352777,10.06502359,0.640482862,0.60974968,0.708126461
2009,12,01/12/2009,12,166.0582507,13.83818756,11.27247476,16.88418827,9.021481941,8.534513198,10.16079668,0.651926555,0.621136495,0.73353886
2010,1,01/01/2010,12,182.0990108,15.17491757,12.92175688,17.89627756,9.276385066,8.780175849,9.808455698,0.611297229,0.580019081,0.642834414
2010,2,01/02/2010,12,190.4829806,15.87358171,13.13649795,18.95675413,9.33055793,8.798115024,10.21276878,0.587804196,0.551982758,0.637168732
2010,3,01/03/2010,12,187.6328365,15.63606971,13.11529865,18.46714266,9.617075466,8.969177861,10.54899496,0.615057086,0.573999161,0.670350383
2010,4,01/04/2010,12,225.8604083,18.82170069,15.28552049,22.241007,11.16204844,10.43874531,11.7311176,0.593041438,0.558827534,0.623257455
2010,5,01/05/2010,12,227.5409923,18.96174936,15.80928116,22.02279119,11.51911933,10.79436078,12.08049407,0.607492437,0.571836039,0.647172621
2010,6,01/06/2010,12,247.9496699,20.66247249,17.84638354,23.5384332,12.74274953,11.93612947,13.38103974,0.616709812,0.578958705,0.66016262
2010,7,01/07/2010,12,259.6997935,21.64164946,18.30181051,24.68834273,13.49702053,12.58944962,13.93307805,0.623659512,0.584857833,0.652726974
2010,8,01/08/2010,12,257.4655013,21.45545844,18.34201095,25.04168863,12.33707561,11.63219656,12.8324925,0.575008716,0.542099908,0.598770885
2010,9,01/09/2010,12,253.257785,21.10481542,18.14576354,24.08823813,10.80804776,10.28624033,11.25737325,0.512112878,0.485647267,0.533366415
2010,10,01/10/2010,12,247.7873053,20.64894211,17.46597303,23.599243,10.49783556,10.0145014,10.98237869,0.508395806,0.477314239,0.534646052
2010,11,01/11/2010,12,235.8302385,19.65251988,16.7135329,22.39898445,9.614551552,9.087793113,10.15364359,0.489227418,0.461197389,0.519573751
2010,12,01/12/2010,13,239.3544545,18.41188112,15.75295694,20.92779304,10.48735923,9.90347506,11.01626332,0.569597379,0.540919137,0.605163724
2011,1,01/01/2011,12,228.2118888,19.0176574,17.39721783,20.76421786,10.27809008,9.564012224,10.88688865,0.54044985,0.507990255,0.569200912
2011,2,01/02/2011,12,203.0686211,16.92238509,14.62602733,18.87969593,9.470179447,8.92618037,9.909634259,0.559624391,0.52821941,0.588688965
2011,3,01/03/2011,12,214.4179769,17.86816474,15.28777867,20.36794452,9.461602851,8.912145164,9.779193977,0.529522925,0.504542918,0.543232993
2011,4,01/04/2011,12,217.8148582,18.15123818,15.30159168,21.07943256,10.13631277,9.638316108,10.42165722,0.558436436,0.531311959,0.568926131
2011,5,01/05/2011,11,223.1238608,20.28398735,16.8696187,23.95018698,11.9180766,11.05531353,12.37672054,0.587560838,0.553449094,0.595454339
2011,6,01/06/2011,12,266.7680219,22.23066849,19.05819888,25.10718492,17.15990743,16.04300513,17.78724625,0.771902448,0.726954574,0.795412831
2011,7,01/07/2011,12,261.4025166,21.78354305,18.60206909,25.11959487,17.14637071,15.92512827,17.84451806,0.787124972,0.732915884,0.810754851
2011,8,01/08/2011,13,240.4544134,18.49649334,14.75135203,22.31424735,13.37693688,12.27797842,14.12501921,0.723214754,0.681435245,0.774486312
2011,9,01/09/2011,13,222.0526424,17.08097249,13.92474742,20.19408513,10.99266063,10.25335203,11.47253445,0.643561755,0.608618605,0.677214553
2011,10,01/10/2011,14,239.9116026,17.13654304,14.24868244,19.92402423,11.01917538,10.39612306,11.58310266,0.64302207,0.614684939,0.678234535
2011,11,01/11/2011,15,247.8328423,16.52218949,13.20137057,19.80815582,9.929293887,9.264545017,10.46026823,0.600967196,0.570911092,0.630662938
