breeding_season,year,Season,nind,nwtsperind,avgMass,sdMass,SEM
1998/1999,1998,EarlySummer,75,31.65333333,699.0695262,83.1993023,9.607027916
1998/1999,1998,LateSummer,80,81.3625,669.8574916,84.57831272,9.456142833
1998/1999,1998,Winter,98,64.28571429,677.2092141,79.52180221,8.032915085
1999/2000,1999,EarlySummer,91,35.49450549,699.355904,75.93216145,7.959853347
1999/2000,1999,LateSummer,79,71.16455696,703.8018351,72.99366341,8.212428755
1999/2000,1999,Winter,122,64.95081967,724.4835162,72.38901007,6.553793032
2000/2001,2000,EarlySummer,119,61.81512605,702.1490874,68.37373823,6.267810307
2000/2001,2000,LateSummer,160,88.41875,673.0384974,59.05506023,4.668712442
2000/2001,2000,Winter,179,64.27374302,727.146811,57.15076558,4.271648777
2001/2002,2001,EarlySummer,201,39.41791045,707.1678971,71.98747211,5.077604785
2001/2002,2001,LateSummer,168,70.11904762,710.5816198,78.52434607,6.058284826
2001/2002,2001,Winter,234,63.88888889,700.0732642,66.92736723,4.375178865
2002/2003,2002,EarlySummer,185,42.99459459,700.8974052,82.01073678,6.029549285
2002/2003,2002,LateSummer,208,74.85096154,673.0673229,90.66075225,6.286192133
2002/2003,2002,Winter,256,67.00390625,684.6578984,87.56643999,5.4729025
2003/2004,2003,EarlySummer,224,45.55357143,684.6088101,77.89194594,5.204374552
2003/2004,2003,LateSummer,126,103.531746,711.0241914,87.2147601,7.769708366
2003/2004,2003,Winter,249,65.09236948,665.1941137,79.37269453,5.030040135
2004/2005,2004,EarlySummer,98,54.43877551,750.8408584,67.74585093,6.84336437
2004/2005,2004,LateSummer,134,70.11940299,690.9292641,92.6369339,8.002612224
2004/2005,2004,Winter,180,67.42777778,704.9169417,81.73603997,6.09224472
2005/2006,2005,EarlySummer,146,56.47945205,690.4239394,89.20020145,7.382261199
2005/2006,2005,LateSummer,190,60.81052632,676.4869306,91.09682673,6.608858425
2005/2006,2005,Winter,215,43.1255814,693.5352684,83.07201133,5.665464149
2006/2007,2006,EarlySummer,160,55.0125,653.0132935,80.62329215,6.373830891
2006/2007,2006,LateSummer,219,100.2191781,617.2857664,81.89553845,5.533987646
2006/2007,2006,Winter,247,59.28744939,657.628837,96.23241028,6.123121637
2007/2008,2007,EarlySummer,173,61.31213873,629.3532888,87.13531426,6.624775267
2007/2008,2007,LateSummer,98,89.59183673,686.2046127,123.4322405,12.46853918
2007/2008,2007,Winter,209,64.47368421,620.5683774,85.41641684,5.908377098
2008/2009,2008,EarlySummer,73,60.16438356,712.1646324,76.20149422,8.918710301
2008/2009,2008,LateSummer,124,80.00806452,687.4897239,88.27549663,7.927373617
2008/2009,2008,Winter,139,63.69064748,689.9100329,85.00726579,7.210222179
2009/2010,2009,EarlySummer,134,56.52985075,657.5714022,88.51937101,7.646908967
2009/2010,2009,LateSummer,167,76.39520958,667.5259497,79.21107137,6.12953673
2009/2010,2009,Winter,203,59.07881773,688.1394305,75.32474784,5.286760877
2010/2011,2010,EarlySummer,195,53.39487179,643.8567599,78.9232481,5.651811187
2010/2011,2010,LateSummer,215,84.63255814,688.7417057,88.66614472,6.04698088
2010/2011,2010,Winter,247,62.82995951,701.9626156,76.76338127,4.884336985
2011/2012,2011,EarlySummer,201,68.32338308,638.9704045,81.86335338,5.774195741
2011/2012,2011,LateSummer,275,90.79272727,662.1610752,79.19452574,4.775609588
2011/2012,2011,Winter,294,71.57482993,684.5286224,85.71379123,4.99892982
2012/2013,2012,EarlySummer,251,55.42629482,654.6725297,83.95911386,5.299452275
2012/2013,2012,LateSummer,230,97.87826087,611.9069805,89.96811413,5.932321769
2012/2013,2012,Winter,299,75.61538462,663.2691416,82.22375433,4.755122489
2013/2014,2013,EarlySummer,160,56.2125,664.6988089,80.90179712,6.395848642
2013/2014,2013,LateSummer,103,68.85436893,731.8889282,77.5367206,7.639920094
2013/2014,2013,Winter,183,65.2568306,681.0675455,80.66663205,5.963049027
2014/2015,2014,EarlySummer,89,53.07865169,696.6367092,79.85475459,8.464587058
2014/2015,2014,LateSummer,148,82.22972973,658.9455533,73.79518074,6.065926491
2014/2015,2014,Winter,166,53.56626506,692.8999961,79.89852603,6.201328298
2015/2016,2015,EarlySummer,149,59.08053691,650.6672197,85.54986177,7.008517756
2015/2016,2015,LateSummer,144,89.00694444,594.7621927,80.67950967,6.723292473
2015/2016,2015,Winter,176,41.42613636,682.6453544,81.51277311,6.144256455
2016/2017,2016,EarlySummer,62,57.5483871,691.6691069,81.66151238,10.37102244
2016/2017,2016,LateSummer,61,70.98360656,676.1377542,106.2528306,13.60428091
2016/2017,2016,Winter,101,51.91089109,695.7557327,102.2434959,10.17360809
2017/2018,2017,EarlySummer,80,52.975,644.071618,72.88641906,8.148949382
2017/2018,2017,LateSummer,112,64.48214286,626.3693053,75.56572391,7.140289754
2017/2018,2017,Winter,124,56.30645161,668.2628737,82.66453053,7.423493987
2018/2019,2018,EarlySummer,86,73.8372093,641.0698544,76.43996558,8.242733472
2018/2019,2018,LateSummer,85,81.89411765,672.7701886,65.16145541,7.067752177
2018/2019,2018,Winter,128,58.2578125,654.6595111,84.98018073,7.511257758
2019/2020,2019,EarlySummer,76,69.59210526,659.4086198,66.61581387,7.641357913
2019/2020,2019,LateSummer,94,51.36170213,673.1752786,85.13226036,8.780722207
2019/2020,2019,Winter,128,60.953125,631.3070196,86.37444154,7.634494166
2020/2021,2020,EarlySummer,112,34.20535714,650.3264042,99.36348142,9.388966473
2020/2021,2020,LateSummer,117,32.58119658,674.5096646,82.80408868,7.655240707
2020/2021,2020,Winter,162,36.09876543,645.5606711,83.78812998,6.58301721
2021/2022,2021,EarlySummer,135,35.32592593,620.1670628,77.14219133,6.639342718
2021/2022,2021,LateSummer,164,38.81097561,670.2666791,89.1292713,6.959826796
2021/2022,2021,Winter,176,36.4375,661.9886112,74.02716188,5.580007278
2022/2023,2022,EarlySummer,109,27.9266055,686.8495953,78.41557718,7.510850099
2022/2023,2022,LateSummer,178,37.33146067,650.6769335,87.92630397,6.590355112
2022/2023,2022,Winter,207,34.70048309,679.021027,84.36942972,5.864080734
