"MonthStart","nPups","nJuvs","nSubadults","nAdults","AgeClass","Proportion"
1998-04-01,31,8,21,67,"Pups",0.244094488188976
1998-04-01,31,8,21,67,"Juveniles",0.062992125984252
1998-04-01,31,8,21,67,"Subadults",0.165354330708661
1998-04-01,31,8,21,67,"Adults",0.52755905511811
1998-05-01,18,11,18,63,"Pups",0.163636363636364
1998-05-01,18,11,18,63,"Juveniles",0.1
1998-05-01,18,11,18,63,"Subadults",0.163636363636364
1998-05-01,18,11,18,63,"Adults",0.572727272727273
1998-06-01,7,16,19,63,"Pups",0.0666666666666667
1998-06-01,7,16,19,63,"Juveniles",0.152380952380952
1998-06-01,7,16,19,63,"Subadults",0.180952380952381
1998-06-01,7,16,19,63,"Adults",0.6
1998-07-01,1,21,19,62,"Pups",0.00970873786407767
1998-07-01,1,21,19,62,"Juveniles",0.203883495145631
1998-07-01,1,21,19,62,"Subadults",0.184466019417476
1998-07-01,1,21,19,62,"Adults",0.601941747572815
1998-08-01,3,15,24,64,"Pups",0.0283018867924528
1998-08-01,3,15,24,64,"Juveniles",0.141509433962264
1998-08-01,3,15,24,64,"Subadults",0.226415094339623
1998-08-01,3,15,24,64,"Adults",0.60377358490566
1998-09-01,7,7,22,68,"Pups",0.0673076923076923
1998-09-01,7,7,22,68,"Juveniles",0.0673076923076923
1998-09-01,7,7,22,68,"Subadults",0.211538461538462
1998-09-01,7,7,22,68,"Adults",0.653846153846154
1998-10-01,12,1,26,66,"Pups",0.114285714285714
1998-10-01,12,1,26,66,"Juveniles",0.00952380952380952
1998-10-01,12,1,26,66,"Subadults",0.247619047619048
1998-10-01,12,1,26,66,"Adults",0.628571428571429
1998-11-01,26,3,26,60,"Pups",0.226086956521739
1998-11-01,26,3,26,60,"Juveniles",0.0260869565217391
1998-11-01,26,3,26,60,"Subadults",0.226086956521739
1998-11-01,26,3,26,60,"Adults",0.521739130434783
1998-12-01,34,6,19,65,"Pups",0.274193548387097
1998-12-01,34,6,19,65,"Juveniles",0.0483870967741935
1998-12-01,34,6,19,65,"Subadults",0.153225806451613
1998-12-01,34,6,19,65,"Adults",0.524193548387097
1999-01-01,42,11,17,68,"Pups",0.304347826086957
1999-01-01,42,11,17,68,"Juveniles",0.0797101449275362
1999-01-01,42,11,17,68,"Subadults",0.123188405797101
1999-01-01,42,11,17,68,"Adults",0.492753623188406
1999-02-01,49,21,14,74,"Pups",0.310126582278481
1999-02-01,49,21,14,74,"Juveniles",0.132911392405063
1999-02-01,49,21,14,74,"Subadults",0.0886075949367089
1999-02-01,49,21,14,74,"Adults",0.468354430379747
1999-03-01,48,25,12,79,"Pups",0.292682926829268
1999-03-01,48,25,12,79,"Juveniles",0.152439024390244
1999-03-01,48,25,12,79,"Subadults",0.0731707317073171
1999-03-01,48,25,12,79,"Adults",0.481707317073171
1999-04-01,35,27,12,83,"Pups",0.222929936305732
1999-04-01,35,27,12,83,"Juveniles",0.171974522292994
1999-04-01,35,27,12,83,"Subadults",0.0764331210191083
1999-04-01,35,27,12,83,"Adults",0.528662420382166
1999-05-01,13,36,23,81,"Pups",0.0849673202614379
1999-05-01,13,36,23,81,"Juveniles",0.235294117647059
1999-05-01,13,36,23,81,"Subadults",0.150326797385621
1999-05-01,13,36,23,81,"Adults",0.529411764705882
1999-06-01,6,35,30,79,"Pups",0.04
1999-06-01,6,35,30,79,"Juveniles",0.233333333333333
1999-06-01,6,35,30,79,"Subadults",0.2
1999-06-01,6,35,30,79,"Adults",0.526666666666667
1999-07-01,6,26,36,74,"Pups",0.0422535211267606
1999-07-01,6,26,36,74,"Juveniles",0.183098591549296
1999-07-01,6,26,36,74,"Subadults",0.253521126760563
1999-07-01,6,26,36,74,"Adults",0.52112676056338
1999-08-01,15,11,50,75,"Pups",0.0993377483443709
1999-08-01,15,11,50,75,"Juveniles",0.0728476821192053
1999-08-01,15,11,50,75,"Subadults",0.33112582781457
1999-08-01,15,11,50,75,"Adults",0.496688741721854
1999-09-01,31,4,54,80,"Pups",0.183431952662722
1999-09-01,31,4,54,80,"Juveniles",0.0236686390532544
1999-09-01,31,4,54,80,"Subadults",0.319526627218935
1999-09-01,31,4,54,80,"Adults",0.473372781065089
1999-10-01,39,4,49,68,"Pups",0.24375
1999-10-01,39,4,49,68,"Juveniles",0.025
1999-10-01,39,4,49,68,"Subadults",0.30625
1999-10-01,39,4,49,68,"Adults",0.425
1999-11-01,39,11,38,63,"Pups",0.258278145695364
1999-11-01,39,11,38,63,"Juveniles",0.0728476821192053
1999-11-01,39,11,38,63,"Subadults",0.251655629139073
1999-11-01,39,11,38,63,"Adults",0.417218543046358
1999-12-01,35,25,30,54,"Pups",0.243055555555556
1999-12-01,35,25,30,54,"Juveniles",0.173611111111111
1999-12-01,35,25,30,54,"Subadults",0.208333333333333
1999-12-01,35,25,30,54,"Adults",0.375
2000-01-01,50,25,25,60,"Pups",0.3125
2000-01-01,50,25,25,60,"Juveniles",0.15625
2000-01-01,50,25,25,60,"Subadults",0.15625
2000-01-01,50,25,25,60,"Adults",0.375
2000-02-01,49,30,21,74,"Pups",0.281609195402299
2000-02-01,49,30,21,74,"Juveniles",0.172413793103448
2000-02-01,49,30,21,74,"Subadults",0.120689655172414
2000-02-01,49,30,21,74,"Adults",0.425287356321839
2000-03-01,43,28,28,80,"Pups",0.240223463687151
2000-03-01,43,28,28,80,"Juveniles",0.156424581005587
2000-03-01,43,28,28,80,"Subadults",0.156424581005587
2000-03-01,43,28,28,80,"Adults",0.446927374301676
2000-04-01,40,34,31,79,"Pups",0.217391304347826
2000-04-01,40,34,31,79,"Juveniles",0.184782608695652
2000-04-01,40,34,31,79,"Subadults",0.168478260869565
2000-04-01,40,34,31,79,"Adults",0.429347826086957
2000-05-01,26,44,40,83,"Pups",0.134715025906736
2000-05-01,26,44,40,83,"Juveniles",0.227979274611399
2000-05-01,26,44,40,83,"Subadults",0.207253886010363
2000-05-01,26,44,40,83,"Adults",0.430051813471503
2000-06-01,24,34,51,81,"Pups",0.126315789473684
2000-06-01,24,34,51,81,"Juveniles",0.178947368421053
2000-06-01,24,34,51,81,"Subadults",0.268421052631579
2000-06-01,24,34,51,81,"Adults",0.426315789473684
2000-07-01,13,38,59,81,"Pups",0.0680628272251309
2000-07-01,13,38,59,81,"Juveniles",0.198952879581152
2000-07-01,13,38,59,81,"Subadults",0.308900523560209
2000-07-01,13,38,59,81,"Adults",0.424083769633508
2000-08-01,13,23,72,89,"Pups",0.065989847715736
2000-08-01,13,23,72,89,"Juveniles",0.116751269035533
2000-08-01,13,23,72,89,"Subadults",0.365482233502538
2000-08-01,13,23,72,89,"Adults",0.451776649746193
2000-09-01,24,23,58,102,"Pups",0.115942028985507
2000-09-01,24,23,58,102,"Juveniles",0.111111111111111
2000-09-01,24,23,58,102,"Subadults",0.280193236714976
2000-09-01,24,23,58,102,"Adults",0.492753623188406
2000-10-01,46,10,68,90,"Pups",0.214953271028037
2000-10-01,46,10,68,90,"Juveniles",0.0467289719626168
2000-10-01,46,10,68,90,"Subadults",0.317757009345794
2000-10-01,46,10,68,90,"Adults",0.420560747663551
2000-11-01,47,10,69,98,"Pups",0.209821428571429
2000-11-01,47,10,69,98,"Juveniles",0.0446428571428571
2000-11-01,47,10,69,98,"Subadults",0.308035714285714
2000-11-01,47,10,69,98,"Adults",0.4375
2000-12-01,40,24,55,108,"Pups",0.176211453744493
2000-12-01,40,24,55,108,"Juveniles",0.105726872246696
2000-12-01,40,24,55,108,"Subadults",0.242290748898678
2000-12-01,40,24,55,108,"Adults",0.475770925110132
2001-01-01,26,41,47,115,"Pups",0.11353711790393
2001-01-01,26,41,47,115,"Juveniles",0.179039301310044
2001-01-01,26,41,47,115,"Subadults",0.205240174672489
2001-01-01,26,41,47,115,"Adults",0.502183406113537
2001-02-01,32,37,33,138,"Pups",0.133333333333333
2001-02-01,32,37,33,138,"Juveniles",0.154166666666667
2001-02-01,32,37,33,138,"Subadults",0.1375
2001-02-01,32,37,33,138,"Adults",0.575
2001-03-01,26,38,47,136,"Pups",0.105263157894737
2001-03-01,26,38,47,136,"Juveniles",0.153846153846154
2001-03-01,26,38,47,136,"Subadults",0.190283400809717
2001-03-01,26,38,47,136,"Adults",0.550607287449393
2001-04-01,30,22,48,148,"Pups",0.120967741935484
2001-04-01,30,22,48,148,"Juveniles",0.0887096774193548
2001-04-01,30,22,48,148,"Subadults",0.193548387096774
2001-04-01,30,22,48,148,"Adults",0.596774193548387
2001-05-01,19,26,45,153,"Pups",0.0781893004115226
2001-05-01,19,26,45,153,"Juveniles",0.106995884773663
2001-05-01,19,26,45,153,"Subadults",0.185185185185185
2001-05-01,19,26,45,153,"Adults",0.62962962962963
2001-06-01,8,24,60,149,"Pups",0.033195020746888
2001-06-01,8,24,60,149,"Juveniles",0.0995850622406639
2001-06-01,8,24,60,149,"Subadults",0.24896265560166
2001-06-01,8,24,60,149,"Adults",0.618257261410788
2001-07-01,4,27,58,134,"Pups",0.0179372197309417
2001-07-01,4,27,58,134,"Juveniles",0.121076233183857
2001-07-01,4,27,58,134,"Subadults",0.260089686098655
2001-07-01,4,27,58,134,"Adults",0.600896860986547
2001-08-01,15,11,66,171,"Pups",0.0570342205323194
2001-08-01,15,11,66,171,"Juveniles",0.0418250950570342
2001-08-01,15,11,66,171,"Subadults",0.250950570342205
2001-08-01,15,11,66,171,"Adults",0.650190114068441
2001-09-01,15,8,58,169,"Pups",0.06
2001-09-01,15,8,58,169,"Juveniles",0.032
2001-09-01,15,8,58,169,"Subadults",0.232
2001-09-01,15,8,58,169,"Adults",0.676
2001-10-01,12,3,47,145,"Pups",0.0579710144927536
2001-10-01,12,3,47,145,"Juveniles",0.0144927536231884
2001-10-01,12,3,47,145,"Subadults",0.227053140096618
2001-10-01,12,3,47,145,"Adults",0.70048309178744
2001-11-01,37,5,44,137,"Pups",0.165919282511211
2001-11-01,37,5,44,137,"Juveniles",0.0224215246636771
2001-11-01,37,5,44,137,"Subadults",0.197309417040359
2001-11-01,37,5,44,137,"Adults",0.614349775784753
2001-12-01,62,9,29,150,"Pups",0.248
2001-12-01,62,9,29,150,"Juveniles",0.036
2001-12-01,62,9,29,150,"Subadults",0.116
2001-12-01,62,9,29,150,"Adults",0.6
2002-01-01,66,12,29,146,"Pups",0.260869565217391
2002-01-01,66,12,29,146,"Juveniles",0.0474308300395257
2002-01-01,66,12,29,146,"Subadults",0.114624505928854
2002-01-01,66,12,29,146,"Adults",0.577075098814229
2002-02-01,54,32,19,158,"Pups",0.20532319391635
2002-02-01,54,32,19,158,"Juveniles",0.121673003802281
2002-02-01,54,32,19,158,"Subadults",0.0722433460076046
2002-02-01,54,32,19,158,"Adults",0.600760456273764
2002-03-01,34,61,14,156,"Pups",0.128301886792453
2002-03-01,34,61,14,156,"Juveniles",0.230188679245283
2002-03-01,34,61,14,156,"Subadults",0.0528301886792453
2002-03-01,34,61,14,156,"Adults",0.588679245283019
2002-04-01,49,55,13,159,"Pups",0.177536231884058
2002-04-01,49,55,13,159,"Juveniles",0.199275362318841
2002-04-01,49,55,13,159,"Subadults",0.0471014492753623
2002-04-01,49,55,13,159,"Adults",0.576086956521739
2002-05-01,47,39,32,156,"Pups",0.171532846715328
2002-05-01,47,39,32,156,"Juveniles",0.142335766423358
2002-05-01,47,39,32,156,"Subadults",0.116788321167883
2002-05-01,47,39,32,156,"Adults",0.569343065693431
2002-06-01,28,27,57,156,"Pups",0.104477611940299
2002-06-01,28,27,57,156,"Juveniles",0.100746268656716
2002-06-01,28,27,57,156,"Subadults",0.212686567164179
2002-06-01,28,27,57,156,"Adults",0.582089552238806
2002-07-01,11,41,59,154,"Pups",0.0415094339622641
2002-07-01,11,41,59,154,"Juveniles",0.154716981132075
2002-07-01,11,41,59,154,"Subadults",0.222641509433962
2002-07-01,11,41,59,154,"Adults",0.581132075471698
2002-08-01,3,41,61,156,"Pups",0.0114942528735632
2002-08-01,3,41,61,156,"Juveniles",0.157088122605364
2002-08-01,3,41,61,156,"Subadults",0.233716475095785
2002-08-01,3,41,61,156,"Adults",0.597701149425287
2002-09-01,12,23,77,149,"Pups",0.0459770114942529
2002-09-01,12,23,77,149,"Juveniles",0.0881226053639847
2002-09-01,12,23,77,149,"Subadults",0.295019157088123
2002-09-01,12,23,77,149,"Adults",0.57088122605364
2002-10-01,29,10,83,166,"Pups",0.100694444444444
2002-10-01,29,10,83,166,"Juveniles",0.0347222222222222
2002-10-01,29,10,83,166,"Subadults",0.288194444444444
2002-10-01,29,10,83,166,"Adults",0.576388888888889
2002-11-01,37,3,71,153,"Pups",0.140151515151515
2002-11-01,37,3,71,153,"Juveniles",0.0113636363636364
2002-11-01,37,3,71,153,"Subadults",0.268939393939394
2002-11-01,37,3,71,153,"Adults",0.579545454545455
2002-12-01,55,6,49,163,"Pups",0.201465201465201
2002-12-01,55,6,49,163,"Juveniles",0.021978021978022
2002-12-01,55,6,49,163,"Subadults",0.179487179487179
2002-12-01,55,6,49,163,"Adults",0.597069597069597
2003-01-01,47,23,48,164,"Pups",0.166666666666667
2003-01-01,47,23,48,164,"Juveniles",0.0815602836879433
2003-01-01,47,23,48,164,"Subadults",0.170212765957447
2003-01-01,47,23,48,164,"Adults",0.581560283687943
2003-02-01,44,28,40,166,"Pups",0.158273381294964
2003-02-01,44,28,40,166,"Juveniles",0.100719424460432
2003-02-01,44,28,40,166,"Subadults",0.143884892086331
2003-02-01,44,28,40,166,"Adults",0.597122302158273
2003-03-01,48,51,29,182,"Pups",0.154838709677419
2003-03-01,48,51,29,182,"Juveniles",0.164516129032258
2003-03-01,48,51,29,182,"Subadults",0.0935483870967742
2003-03-01,48,51,29,182,"Adults",0.587096774193548
2003-04-01,31,45,31,191,"Pups",0.104026845637584
2003-04-01,31,45,31,191,"Juveniles",0.151006711409396
2003-04-01,31,45,31,191,"Subadults",0.104026845637584
2003-04-01,31,45,31,191,"Adults",0.640939597315436
2003-05-01,28,39,27,196,"Pups",0.096551724137931
2003-05-01,28,39,27,196,"Juveniles",0.13448275862069
2003-05-01,28,39,27,196,"Subadults",0.0931034482758621
2003-05-01,28,39,27,196,"Adults",0.675862068965517
2003-06-01,1,35,48,196,"Pups",0.00357142857142857
2003-06-01,1,35,48,196,"Juveniles",0.125
2003-06-01,1,35,48,196,"Subadults",0.171428571428571
2003-06-01,1,35,48,196,"Adults",0.7
2003-07-01,0,22,59,190,"Pups",0
2003-07-01,0,22,59,190,"Juveniles",0.0811808118081181
2003-07-01,0,22,59,190,"Subadults",0.217712177121771
2003-07-01,0,22,59,190,"Adults",0.701107011070111
2003-08-01,0,21,57,184,"Pups",0
2003-08-01,0,21,57,184,"Juveniles",0.0801526717557252
2003-08-01,0,21,57,184,"Subadults",0.217557251908397
2003-08-01,0,21,57,184,"Adults",0.702290076335878
2003-09-01,1,0,70,187,"Pups",0.00387596899224806
2003-09-01,1,0,70,187,"Juveniles",0
2003-09-01,1,0,70,187,"Subadults",0.271317829457364
2003-09-01,1,0,70,187,"Adults",0.724806201550388
2003-10-01,1,0,55,185,"Pups",0.004149377593361
2003-10-01,1,0,55,185,"Juveniles",0
2003-10-01,1,0,55,185,"Subadults",0.228215767634855
2003-10-01,1,0,55,185,"Adults",0.767634854771784
2003-11-01,4,0,50,120,"Pups",0.0229885057471264
2003-11-01,4,0,50,120,"Juveniles",0
2003-11-01,4,0,50,120,"Subadults",0.28735632183908
2003-11-01,4,0,50,120,"Adults",0.689655172413793
2003-12-01,23,0,21,108,"Pups",0.151315789473684
2003-12-01,23,0,21,108,"Juveniles",0
2003-12-01,23,0,21,108,"Subadults",0.138157894736842
2003-12-01,23,0,21,108,"Adults",0.710526315789474
2004-01-01,33,0,13,115,"Pups",0.204968944099379
2004-01-01,33,0,13,115,"Juveniles",0
2004-01-01,33,0,13,115,"Subadults",0.0807453416149068
2004-01-01,33,0,13,115,"Adults",0.714285714285714
2004-02-01,46,2,12,110,"Pups",0.270588235294118
2004-02-01,46,2,12,110,"Juveniles",0.0117647058823529
2004-02-01,46,2,12,110,"Subadults",0.0705882352941176
2004-02-01,46,2,12,110,"Adults",0.647058823529412
2004-03-01,70,6,1,118,"Pups",0.358974358974359
2004-03-01,70,6,1,118,"Juveniles",0.0307692307692308
2004-03-01,70,6,1,118,"Subadults",0.00512820512820513
2004-03-01,70,6,1,118,"Adults",0.605128205128205
2004-04-01,64,24,0,117,"Pups",0.31219512195122
2004-04-01,64,24,0,117,"Juveniles",0.117073170731707
2004-04-01,64,24,0,117,"Subadults",0
2004-04-01,64,24,0,117,"Adults",0.570731707317073
2004-05-01,57,32,2,113,"Pups",0.279411764705882
2004-05-01,57,32,2,113,"Juveniles",0.156862745098039
2004-05-01,57,32,2,113,"Subadults",0.00980392156862745
2004-05-01,57,32,2,113,"Adults",0.553921568627451
2004-06-01,30,53,9,112,"Pups",0.147058823529412
2004-06-01,30,53,9,112,"Juveniles",0.259803921568627
2004-06-01,30,53,9,112,"Subadults",0.0441176470588235
2004-06-01,30,53,9,112,"Adults",0.549019607843137
2004-07-01,10,52,24,111,"Pups",0.050761421319797
2004-07-01,10,52,24,111,"Juveniles",0.263959390862944
2004-07-01,10,52,24,111,"Subadults",0.121827411167513
2004-07-01,10,52,24,111,"Adults",0.563451776649746
2004-08-01,19,47,32,111,"Pups",0.0909090909090909
2004-08-01,19,47,32,111,"Juveniles",0.22488038277512
2004-08-01,19,47,32,111,"Subadults",0.15311004784689
2004-08-01,19,47,32,111,"Adults",0.5311004784689
2004-09-01,16,26,58,103,"Pups",0.0788177339901478
2004-09-01,16,26,58,103,"Juveniles",0.12807881773399
2004-09-01,16,26,58,103,"Subadults",0.285714285714286
2004-09-01,16,26,58,103,"Adults",0.507389162561576
2004-10-01,29,6,77,101,"Pups",0.136150234741784
2004-10-01,29,6,77,101,"Juveniles",0.028169014084507
2004-10-01,29,6,77,101,"Subadults",0.36150234741784
2004-10-01,29,6,77,101,"Adults",0.474178403755869
2004-11-01,26,16,70,81,"Pups",0.134715025906736
2004-11-01,26,16,70,81,"Juveniles",0.0829015544041451
2004-11-01,26,16,70,81,"Subadults",0.362694300518135
2004-11-01,26,16,70,81,"Adults",0.419689119170984
2004-12-01,48,10,71,78,"Pups",0.231884057971014
2004-12-01,48,10,71,78,"Juveniles",0.0483091787439614
2004-12-01,48,10,71,78,"Subadults",0.342995169082126
2004-12-01,48,10,71,78,"Adults",0.376811594202899
2005-01-01,40,28,55,84,"Pups",0.193236714975845
2005-01-01,40,28,55,84,"Juveniles",0.135265700483092
2005-01-01,40,28,55,84,"Subadults",0.265700483091787
2005-01-01,40,28,55,84,"Adults",0.405797101449275
2005-02-01,35,25,58,88,"Pups",0.169902912621359
2005-02-01,35,25,58,88,"Juveniles",0.121359223300971
2005-02-01,35,25,58,88,"Subadults",0.281553398058252
2005-02-01,35,25,58,88,"Adults",0.427184466019417
2005-03-01,55,40,35,107,"Pups",0.232067510548523
2005-03-01,55,40,35,107,"Juveniles",0.168776371308017
2005-03-01,55,40,35,107,"Subadults",0.147679324894515
2005-03-01,55,40,35,107,"Adults",0.451476793248945
2005-04-01,59,34,41,116,"Pups",0.236
2005-04-01,59,34,41,116,"Juveniles",0.136
2005-04-01,59,34,41,116,"Subadults",0.164
2005-04-01,59,34,41,116,"Adults",0.464
2005-05-01,61,29,40,128,"Pups",0.236434108527132
2005-05-01,61,29,40,128,"Juveniles",0.112403100775194
2005-05-01,61,29,40,128,"Subadults",0.155038759689922
2005-05-01,61,29,40,128,"Adults",0.496124031007752
2005-06-01,33,38,49,131,"Pups",0.131474103585657
2005-06-01,33,38,49,131,"Juveniles",0.151394422310757
2005-06-01,33,38,49,131,"Subadults",0.195219123505976
2005-06-01,33,38,49,131,"Adults",0.52191235059761
2005-07-01,22,42,60,129,"Pups",0.0869565217391304
2005-07-01,22,42,60,129,"Juveniles",0.16600790513834
2005-07-01,22,42,60,129,"Subadults",0.237154150197628
2005-07-01,22,42,60,129,"Adults",0.509881422924901
2005-08-01,14,45,52,134,"Pups",0.0571428571428571
2005-08-01,14,45,52,134,"Juveniles",0.183673469387755
2005-08-01,14,45,52,134,"Subadults",0.212244897959184
2005-08-01,14,45,52,134,"Adults",0.546938775510204
2005-09-01,29,18,78,123,"Pups",0.116935483870968
2005-09-01,29,18,78,123,"Juveniles",0.0725806451612903
2005-09-01,29,18,78,123,"Subadults",0.314516129032258
2005-09-01,29,18,78,123,"Adults",0.495967741935484
2005-10-01,41,6,75,137,"Pups",0.158301158301158
2005-10-01,41,6,75,137,"Juveniles",0.0231660231660232
2005-10-01,41,6,75,137,"Subadults",0.28957528957529
2005-10-01,41,6,75,137,"Adults",0.528957528957529
2005-11-01,39,12,71,131,"Pups",0.154150197628458
2005-11-01,39,12,71,131,"Juveniles",0.0474308300395257
2005-11-01,39,12,71,131,"Subadults",0.280632411067194
2005-11-01,39,12,71,131,"Adults",0.517786561264822
2005-12-01,55,20,57,140,"Pups",0.202205882352941
2005-12-01,55,20,57,140,"Juveniles",0.0735294117647059
2005-12-01,55,20,57,140,"Subadults",0.209558823529412
2005-12-01,55,20,57,140,"Adults",0.514705882352941
2006-01-01,41,32,51,148,"Pups",0.150735294117647
2006-01-01,41,32,51,148,"Juveniles",0.117647058823529
2006-01-01,41,32,51,148,"Subadults",0.1875
2006-01-01,41,32,51,148,"Adults",0.544117647058823
2006-02-01,37,33,55,125,"Pups",0.148
2006-02-01,37,33,55,125,"Juveniles",0.132
2006-02-01,37,33,55,125,"Subadults",0.22
2006-02-01,37,33,55,125,"Adults",0.5
2006-03-01,41,37,47,130,"Pups",0.16078431372549
2006-03-01,41,37,47,130,"Juveniles",0.145098039215686
2006-03-01,41,37,47,130,"Subadults",0.184313725490196
2006-03-01,41,37,47,130,"Adults",0.509803921568627
2006-04-01,46,35,44,143,"Pups",0.171641791044776
2006-04-01,46,35,44,143,"Juveniles",0.130597014925373
2006-04-01,46,35,44,143,"Subadults",0.164179104477612
2006-04-01,46,35,44,143,"Adults",0.533582089552239
2006-05-01,56,31,43,147,"Pups",0.202166064981949
2006-05-01,56,31,43,147,"Juveniles",0.111913357400722
2006-05-01,56,31,43,147,"Subadults",0.155234657039711
2006-05-01,56,31,43,147,"Adults",0.530685920577617
2006-06-01,39,36,43,133,"Pups",0.155378486055777
2006-06-01,39,36,43,133,"Juveniles",0.143426294820717
2006-06-01,39,36,43,133,"Subadults",0.171314741035857
2006-06-01,39,36,43,133,"Adults",0.529880478087649
2006-07-01,29,32,66,141,"Pups",0.108208955223881
2006-07-01,29,32,66,141,"Juveniles",0.119402985074627
2006-07-01,29,32,66,141,"Subadults",0.246268656716418
2006-07-01,29,32,66,141,"Adults",0.526119402985075
2006-08-01,4,52,61,145,"Pups",0.0152671755725191
2006-08-01,4,52,61,145,"Juveniles",0.198473282442748
2006-08-01,4,52,61,145,"Subadults",0.232824427480916
2006-08-01,4,52,61,145,"Adults",0.553435114503817
2006-09-01,20,38,67,141,"Pups",0.075187969924812
2006-09-01,20,38,67,141,"Juveniles",0.142857142857143
2006-09-01,20,38,67,141,"Subadults",0.25187969924812
2006-09-01,20,38,67,141,"Adults",0.530075187969925
2006-10-01,26,24,63,145,"Pups",0.10077519379845
2006-10-01,26,24,63,145,"Juveniles",0.0930232558139535
2006-10-01,26,24,63,145,"Subadults",0.244186046511628
2006-10-01,26,24,63,145,"Adults",0.562015503875969
